Name,Link to back sync,Variables (from Name copy),Title,CF Standard Name,Proposed CF Standard Name,Units,UID,Processing Note,Processing Comment,Provenance,Name Validation,Review Status (internal)
fsitherm,fsitherm,Omon.fsitherm,Water Flux into Sea Water Due to Sea Ice Thermodynamics,water_flux_into_sea_water_due_to_sea_ice_thermodynamics,,kg m-2 s-1,f718ef1940e6feab018d81f508bd87c2,si,,OMIP.Omon,1,Existing physical parameter
rsdsis,rsdsis,,Surface Downwelling Shortwave Radiation over Ice Sheets,surface_downwelling_shortwave_flux_in_air,,W m-2,80ab71e2-a698-11ef-914a-613c0433d878,si,,,1,Junk
rsdslni,rsdslni,"Emon.rsdslni, Emon.rsdslni_junk",Surface Downwelling Shortwave Radiation over Land Not Covered by Ice Sheets or Snow,surface_downwelling_shortwave_flux_in_air,,W m-2,80ab71e4-a698-11ef-914a-613c0433d878,si,,,1,Accepted for CMIP7
rsdsoni,rsdsoni,Emon.rsdsoni,Surface Downwelling Shortwave Radiation over Ocean Not Covered by Sea Ice,surface_downwelling_shortwave_flux_in_air,,W m-2,80ab71e6-a698-11ef-914a-613c0433d878,si,,,1,Accepted for CMIP7
rsdssi,rsdssi,Emon.rsdssi,Surface Downwelling Shortwave Radiation over Sea Ice,surface_downwelling_shortwave_flux_in_air,,W m-2,80ab71e0-a698-11ef-914a-613c0433d878,si,,,1,Accepted for CMIP7
rsusIs,rsusIs,"LImon.rsusIs, Emon.rsusIs",Ice Sheet Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,,W m-2,53828236-bf01-11e6-a554-ac72891c3257,si,,CMIP6 [ISMIP6],1,Existing physical parameter
rsusis,rsusis,,Surface Upwelling Shortwave Radiation over Ice Sheets,surface_upwelling_shortwave_flux_in_air,,W m-2,80ab71e3-a698-11ef-914a-613c0433d878,si,,,1,Junk
rsuslni,rsuslni,Emon.rsuslni,Surface Upwelling Shortwave Radiation over Land Not Covered by Ice Sheets or Snow,surface_upwelling_shortwave_flux_in_air,,W m-2,80ab71e5-a698-11ef-914a-613c0433d878,si,,,1,Accepted for CMIP7
rsusoni,rsusoni,Emon.rsusoni,Surface Upwelling Shortwave Radiation over Ocean Not Covered by Sea Ice,surface_upwelling_shortwave_flux_in_air,,W m-2,80ab71e7-a698-11ef-914a-613c0433d878,si,,,1,Accepted for CMIP7
rsussi,rsussi,Emon.rsussi,Surface Upwelling Shortwave Radiation over Sea Ice,surface_upwelling_shortwave_flux_in_air,,W m-2,80ab71e1-a698-11ef-914a-613c0433d878,si,,,1,Accepted for CMIP7
